"sampid","organism"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1003","Staphylococcus lugdunensis"
"dzd-1004","Staphylococcus epidermidis"
"dzd-1004","Staphylococcus epidermidis"
"dzd-1004","Staphylococcus epidermidis"
"dzd-1004","Staphylococcus epidermidis"
"dzd-1004","Staphylococcus epidermidis"
"dzd-1004","Staphylococcus epidermidis"
"dzd-1004","Staphylococcus epidermidis"
"dzd-1004","Staphylococcus epidermidis"
"dzd-1004","Staphylococcus epidermidis"
"dzd-1004","Staphylococcus epidermidis"
"dzd-1004","Staphylococcus epidermidis"
"dzd-1004","Staphylococcus epidermidis"
"dzd-1004","Staphylococcus epidermidis"
"dzd-1004","Staphylococcus epidermidis"
"dzd-1004","Staphylococcus epidermidis"
"dzd-1004","Staphylococcus epidermidis"
"dzd-1004","Staphylococcus epidermidis"
"dzd-1004","Staphylococcus epidermidis"
"dzd-1004","Staphylococcus epidermidis"
"dzd-1004","Staphylococcus epidermidis"
"dzd-1005","Escherichia coli"
"dzd-1005","Escherichia coli"
"dzd-1005","Escherichia coli"
"dzd-1005","Escherichia coli"
"dzd-1005","Escherichia coli"
"dzd-1005","Escherichia coli"
"dzd-1005","Escherichia coli"
"dzd-1005","Escherichia coli"
"dzd-1005","Escherichia coli"
"dzd-1005","Escherichia coli"
"dzd-1005","Escherichia coli"
"dzd-1005","Escherichia coli"
"dzd-1005","Escherichia coli"
"dzd-1005","Escherichia coli"
"dzd-1005","Escherichia coli"
"dzd-1005","Escherichia coli"
"dzd-1006","Staphylococcus aureus"
"dzd-1006","Staphylococcus aureus"
"dzd-1006","Staphylococcus aureus"
"dzd-1006","Staphylococcus aureus"
"dzd-1006","Staphylococcus aureus"
"dzd-1006","Staphylococcus aureus"
"dzd-1006","Staphylococcus aureus"
"dzd-1006","Staphylococcus aureus"
"dzd-1006","Staphylococcus aureus"
"dzd-1006","Staphylococcus aureus"
"dzd-1006","Staphylococcus aureus"
"dzd-1006","Staphylococcus aureus"
"dzd-1006","Staphylococcus aureus"
"dzd-1006","Staphylococcus aureus"
"dzd-1006","Staphylococcus aureus"
"dzd-1006","Staphylococcus aureus"
"dzd-1006","Staphylococcus aureus"
"dzd-1006","Staphylococcus aureus"
"dzd-1006","Staphylococcus aureus"
"dzd-1007",NULL
"dzd-1008","Oxacillin-resistant S. aureus"
"dzd-1008","Oxacillin-resistant S. aureus"
"dzd-1008","Oxacillin-resistant S. aureus"
"dzd-1008","Oxacillin-resistant S. aureus"
"dzd-1008","Oxacillin-resistant S. aureus"
"dzd-1008","Oxacillin-resistant S. aureus"
"dzd-1008","Oxacillin-resistant S. aureus"
"dzd-1008","Oxacillin-resistant S. aureus"
"dzd-1008","Oxacillin-resistant S. aureus"
"dzd-1008","Oxacillin-resistant S. aureus"
"dzd-1008","Oxacillin-resistant S. aureus"
"dzd-1008","Oxacillin-resistant S. aureus"
"dzd-1008","Oxacillin-resistant S. aureus"
"dzd-1008","Oxacillin-resistant S. aureus"
"dzd-1008","Oxacillin-resistant S. aureus"
"dzd-1008","Oxacillin-resistant S. aureus"
"dzd-1008","Oxacillin-resistant S. aureus"
"dzd-1008","Oxacillin-resistant S. aureus"
"dzd-1008","Oxacillin-resistant S. aureus"
"dzd-1008","Oxacillin-resistant S. aureus"
"dzd-1008","Oxacillin-resistant S. aureus"
"dzd-1009","Pseudomonas aeruginosa"
"dzd-1009","Pseudomonas aeruginosa"
"dzd-1009","Pseudomonas aeruginosa"
"dzd-1009","Pseudomonas aeruginosa"
"dzd-1009","Pseudomonas aeruginosa"
"dzd-1009","Pseudomonas aeruginosa"
"dzd-1009","Pseudomonas aeruginosa"
"dzd-1009","Pseudomonas aeruginosa"
"dzd-1009","Pseudomonas aeruginosa"
"dzd-1009","Pseudomonas aeruginosa"
"dzd-1009","Pseudomonas aeruginosa"
"dzd-1009","Pseudomonas aeruginosa"
"dzd-1009","Pseudomonas aeruginosa"
"dzd-1009","Pseudomonas aeruginosa"
"dzd-101","Klebsiella pneumoniae"
"dzd-101","Klebsiella pneumoniae"
"dzd-101","Klebsiella pneumoniae"
"dzd-101","Klebsiella pneumoniae"
"dzd-101","Klebsiella pneumoniae"
"dzd-101","Klebsiella pneumoniae"
"dzd-101","Klebsiella pneumoniae"
"dzd-101","Klebsiella pneumoniae"
"dzd-101","Klebsiella pneumoniae"
"dzd-101","Klebsiella pneumoniae"
"dzd-101","Klebsiella pneumoniae"
"dzd-101","Klebsiella pneumoniae"
"dzd-101","Klebsiella pneumoniae"
"dzd-101","Klebsiella pneumoniae"
"dzd-101","Klebsiella pneumoniae"
"dzd-101","Klebsiella pneumoniae"
"dzd-1010",NULL
"dzd-1011","Staphylococcus aureus"
"dzd-1011","Staphylococcus aureus"
"dzd-1011","Staphylococcus aureus"
"dzd-1011","Staphylococcus aureus"
"dzd-1011","Staphylococcus aureus"
"dzd-1011","Staphylococcus aureus"
"dzd-1011","Staphylococcus aureus"
"dzd-1011","Staphylococcus aureus"
"dzd-1011","Staphylococcus aureus"
"dzd-1011","Staphylococcus aureus"
"dzd-1011","Staphylococcus aureus"
"dzd-1011","Staphylococcus aureus"
"dzd-1011","Staphylococcus aureus"
"dzd-1011","Staphylococcus aureus"
"dzd-1011","Staphylococcus aureus"
"dzd-1011","Staphylococcus aureus"
"dzd-1011","Staphylococcus aureus"
"dzd-1011","Staphylococcus aureus"
"dzd-1011","Staphylococcus aureus"
"dzd-1011","Staphylococcus aureus"
"dzd-1011","Staphylococcus aureus"
"dzd-1012","Serratia marcescens"
"dzd-1012","Serratia marcescens"
"dzd-1012","Serratia marcescens"
"dzd-1012","Serratia marcescens"
"dzd-1012","Serratia marcescens"
"dzd-1012","Serratia marcescens"
"dzd-1012","Serratia marcescens"
"dzd-1012","Serratia marcescens"
"dzd-1012","Serratia marcescens"
"dzd-1012","Serratia marcescens"
"dzd-1012","Serratia marcescens"
"dzd-1012","Serratia marcescens"
"dzd-1012","Serratia marcescens"
"dzd-1012","Serratia marcescens"
"dzd-1012","Serratia marcescens"
"dzd-1012","Serratia marcescens"
"dzd-1012","Serratia marcescens"
"dzd-1012","Serratia marcescens"
"dzd-1012","Serratia marcescens"
"dzd-1012","Serratia marcescens"
"dzd-1012","Serratia marcescens"
"dzd-1012","Serratia marcescens"
"dzd-1012","Serratia marcescens"
"dzd-1012","Serratia marcescens"
"dzd-1013",NULL
"dzd-1014","Escherichia coli"
"dzd-1014","Escherichia coli"
"dzd-1014","Escherichia coli"
"dzd-1014","Escherichia coli"
"dzd-1014","Escherichia coli"
"dzd-1014","Escherichia coli"
"dzd-1014","Escherichia coli"
"dzd-1014","Escherichia coli"
"dzd-1014","Escherichia coli"
"dzd-1014","Escherichia coli"
"dzd-1014","Escherichia coli"
"dzd-1014","Escherichia coli"
"dzd-1014","Escherichia coli"
"dzd-1014","Escherichia coli"
"dzd-1014","Escherichia coli"
"dzd-1014","Escherichia coli"
"dzd-1015",NULL
"dzd-1016",NULL
"dzd-1017","Staphylococcus epidermidis"
"dzd-1017","Staphylococcus epidermidis"
"dzd-1017","Staphylococcus epidermidis"
"dzd-1017","Staphylococcus epidermidis"
"dzd-1017","Staphylococcus epidermidis"
"dzd-1017","Staphylococcus epidermidis"
"dzd-1017","Staphylococcus epidermidis"
"dzd-1017","Staphylococcus epidermidis"
"dzd-1017","Staphylococcus epidermidis"
"dzd-1017","Staphylococcus epidermidis"
"dzd-1017","Staphylococcus epidermidis"
"dzd-1017","Staphylococcus epidermidis"
"dzd-1017","Staphylococcus epidermidis"
"dzd-1017","Staphylococcus epidermidis"
"dzd-1017","Staphylococcus epidermidis"
"dzd-1017","Staphylococcus epidermidis"
"dzd-1017","Staphylococcus epidermidis"
"dzd-1017","Staphylococcus epidermidis"
"dzd-1017","Staphylococcus epidermidis"
"dzd-1017","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus aureus"
"dzd-1018","Staphylococcus aureus"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus aureus"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus aureus"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus aureus"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus aureus"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus aureus"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus aureus"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus aureus"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus aureus"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus aureus"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus epidermidis"
"dzd-1018","Staphylococcus aureus"
"dzd-1018","Staphylococcus aureus"
"dzd-1018","Staphylococcus aureus"
"dzd-1018","Staphylococcus aureus"
"dzd-1018","Staphylococcus aureus"
"dzd-1018","Staphylococcus aureus"
"dzd-1018","Staphylococcus aureus"
"dzd-1018","Staphylococcus aureus"
"dzd-1018","Staphylococcus aureus"
"dzd-1018","Staphylococcus aureus"
"dzd-1019","Staphylococcus epidermidis"
"dzd-1019","Staphylococcus haemolyticus"
"dzd-1019","Staphylococcus epidermidis"
"dzd-1019","Staphylococcus haemolyticus"
"dzd-1019","Staphylococcus haemolyticus"
"dzd-1019","Staphylococcus haemolyticus"
"dzd-1019","Staphylococcus haemolyticus"
"dzd-1019","Staphylococcus haemolyticus"
"dzd-1019","Staphylococcus haemolyticus"
"dzd-1019","Staphylococcus haemolyticus"
"dzd-1019","Staphylococcus haemolyticus"
"dzd-1019","Staphylococcus haemolyticus"
"dzd-1019","Staphylococcus haemolyticus"
"dzd-1019","Staphylococcus epidermidis"
"dzd-1019","Staphylococcus haemolyticus"
"dzd-1019","Staphylococcus epidermidis"
"dzd-1019","Staphylococcus epidermidis"
"dzd-1019","Staphylococcus haemolyticus"
"dzd-1019","Staphylococcus epidermidis"
"dzd-1019","Staphylococcus epidermidis"
"dzd-1019","Staphylococcus haemolyticus"
"dzd-1019","Staphylococcus epidermidis"
"dzd-1019","Staphylococcus epidermidis"
"dzd-1019","Staphylococcus haemolyticus"
"dzd-1019","Staphylococcus epidermidis"
"dzd-1019","Staphylococcus epidermidis"
"dzd-1019","Staphylococcus haemolyticus"
"dzd-1019","Staphylococcus epidermidis"
"dzd-1019","Staphylococcus epidermidis"
"dzd-1019","Staphylococcus haemolyticus"
"dzd-1019","Staphylococcus epidermidis"
"dzd-1019","Staphylococcus epidermidis"
"dzd-1019","Staphylococcus haemolyticus"
"dzd-1019","Staphylococcus epidermidis"
"dzd-1019","Staphylococcus epidermidis"
"dzd-1019","Staphylococcus haemolyticus"
"dzd-1019","Staphylococcus epidermidis"
"dzd-1019","Staphylococcus epidermidis"
"dzd-1019","Staphylococcus haemolyticus"
"dzd-1019","Staphylococcus epidermidis"
"dzd-102","Klebsiella pneumoniae"
"dzd-102","Klebsiella pneumoniae"
"dzd-102","Klebsiella pneumoniae"
"dzd-102","Klebsiella pneumoniae"
"dzd-102","Klebsiella pneumoniae"
"dzd-102","Klebsiella pneumoniae"
"dzd-102","Klebsiella pneumoniae"
"dzd-102","Klebsiella pneumoniae"
"dzd-102","Klebsiella pneumoniae"
"dzd-102","Klebsiella pneumoniae"
"dzd-102","Klebsiella pneumoniae"
"dzd-102","Klebsiella pneumoniae"
"dzd-102","Klebsiella pneumoniae"
"dzd-102","Klebsiella pneumoniae"
"dzd-102","Klebsiella pneumoniae"
"dzd-102","Klebsiella pneumoniae"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus aureus"
"dzd-1020","Staphylococcus aureus"
"dzd-1020","Staphylococcus aureus"
"dzd-1020","Staphylococcus aureus"
"dzd-1020","Staphylococcus aureus"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus aureus"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus aureus"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus aureus"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus aureus"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus aureus"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus aureus"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus aureus"
"dzd-1020","Staphylococcus aureus"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus aureus"
"dzd-1020","Staphylococcus aureus"
"dzd-1020","Staphylococcus aureus"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus aureus"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus aureus"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus aureus"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus aureus"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus aureus"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1020","Staphylococcus epidermidis"
"dzd-1021","Serratia marcescens"
"dzd-1021","Serratia marcescens"
"dzd-1021","Serratia marcescens"
"dzd-1021","Serratia marcescens"
"dzd-1021","Serratia marcescens"
"dzd-1021","Serratia marcescens"
"dzd-1021","Serratia marcescens"
"dzd-1021","Serratia marcescens"
"dzd-1021","Serratia marcescens"
"dzd-1021","Serratia marcescens"
"dzd-1021","Serratia marcescens"
"dzd-1021","Serratia marcescens"
"dzd-1021","Serratia marcescens"
"dzd-1021","Serratia marcescens"
"dzd-1021","Serratia marcescens"
"dzd-1021","Serratia marcescens"
"dzd-1021","Serratia marcescens"
"dzd-1021","Serratia marcescens"
"dzd-1021","Serratia marcescens"
"dzd-1021","Serratia marcescens"
"dzd-1021","Serratia marcescens"
"dzd-1021","Serratia marcescens"
"dzd-1021","Serratia marcescens"
"dzd-1021","Serratia marcescens"
"dzd-1022","Escherichia coli"
"dzd-1022","Escherichia coli"
"dzd-1022","Escherichia coli"
"dzd-1022","Escherichia coli"
"dzd-1022","Escherichia coli"
"dzd-1022","Escherichia coli"
"dzd-1022","Escherichia coli"
"dzd-1022","Escherichia coli"
"dzd-1022","Escherichia coli"
"dzd-1022","Escherichia coli"
"dzd-1022","Escherichia coli"
"dzd-1022","Escherichia coli"
"dzd-1022","Escherichia coli"
"dzd-1022","Escherichia coli"
"dzd-1022","Escherichia coli"
"dzd-1022","Escherichia coli"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Escherichia coli"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Escherichia coli"
"dzd-1023","Escherichia coli"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Escherichia coli"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Escherichia coli"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Escherichia coli"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Escherichia coli"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Escherichia coli"
"dzd-1023","Escherichia coli"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Escherichia coli"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Escherichia coli"
"dzd-1023","Escherichia coli"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Escherichia coli"
"dzd-1023","Escherichia coli"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Escherichia coli"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Escherichia coli"
"dzd-1023","Escherichia coli"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Escherichia coli"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Staphylococcus capitis"
"dzd-1023","Escherichia coli"
"dzd-1023","Escherichia coli"
"dzd-1023","Escherichia coli"
"dzd-1023","Staphylococcus capitis"
"dzd-1024",NULL
"dzd-1025","Staphylococcus capitis"
"dzd-1025","Staphylococcus capitis"
"dzd-1025","Staphylococcus capitis"
"dzd-1025","Staphylococcus capitis"
"dzd-1025","Staphylococcus capitis"
"dzd-1025","Staphylococcus capitis"
"dzd-1025","Staphylococcus capitis"
